Course ID,Days,Time,Instructor,RMP,Campus,Credits
2017-LEC (42122),MoWe,0935-1100,Selena Niedbalski,5,Mesa,3
2024-LEC (42071),MoWe,0800-0925,Robert Pickford,5,Mesa,3
2010-LEC (42063),MoWe,1245-1550,Sim Barhoum,4.9,Mesa,3
2011-LEC (42064),MoWe,0800-1100,Sim Barhoum,4.9,Mesa,3
2034-LEC (42164),TuTh,0755-1100,Sim Barhoum,4.9,Mesa,3
2013-LEC (42128),MoWe,1110-1235,Jennifer Derilo,4.8,Mesa,3
2012-LEC (42065),TuTh,0935-1055,Marie Alfonsi,4.8,Mesa,3
2016-LEC (42067),TuTh,1245-1405,Marie Alfonsi,4.8,Mesa,3
2009-LEC (42062),Su,1200-1500,Brendan Praniewicz,4.7,Web ,3
2045-LEC (42161),Su,1200-1500,Erica Curtis,4.7,Web ,3
2047-LEC (44547),Su,1200-1500,Erica Curtis,4.7,Web ,3
2006-LEC (42073),TuTh,1245-1405,Mariam Kushkaki,4.6,Mesa,3
2003-LEC (42057),Sa,1200-1500,Jason Kalchik,4.6,Web ,3
2020-LEC (42068),Sa,1200-1500,Mariam Kushkaki,4.6,Web ,3
2021-LEC (42069),Sa,1200-1500,Mariam Kushkaki,4.6,Web ,3
2004-LEC (42058),Sa,1200-1500,Jorge Villalobos,4.3,Web ,3
2031-LEC (42129),Sa,1200-1500,Jorge Villalobos,4.3,Web ,3
2043-LEC (42134),Sa,1200-1500,Jorge Villalobos,4.3,Web ,3
2027-LEC (42072),TuTh,0800-0920,David Coddon,4.2,Mesa,3
2048-LEC (42166),Sa,1200-1500,Olga Vienna,4.2,Web ,3
2039-LEC (42093),TuTh,1110-1230,Wendy Smith,4.1,Mesa,3
2005-LEC (42059),Fr,1200-1500,Krystle Marshall Jones,4.1,Web ,3
2014-LEC (42066),Fr,1200-1500,Krystle Marshall Jones,4.1,Web ,3
2033-LEC (42130),Fr,1200-1500,Krystle Marshall Jones,4.1,Web ,3
2007-LEC (42060),TuTh,0935-1055,Victoria Freeman,4,Mesa,3
2018-LEC (42098),TuTh,1245-1405,Gibran Guido,3.2,Mesa,3
2023-LEC (42070),MoWe,1245-1410,Gibran Guido,3.2,Mesa,3
2015-LEC (42113),MoWe,0935-1100,Donna Duchow,2.2,Mesa,3
2025-LEC (42105),TuTh,0800-0920,Donna Duchow,2.2,Mesa,3
2001-LEC (42055),Fr,1200-1500,Donna Duchow,2.2,Web ,3
2002-LEC (42056),Fr,1200-1500,Donna Duchow,2.2,Web ,3
2044-LEC (42160),MoWe,1110-1235,Joanna Mang,0,Mesa,3
2008-LEC (42061),Sa,1200-1500,Jason Phelps,0,Web ,3
2046-LEC (44546),Sa,1200-1500,TBA,0,Web ,3
