Course ID,Days,Time,Instructor,RMP,Campus,Credits
2024-LEC (41423),Su,1200-1500,Joline Bourdages,5,Web ,3
2025-LEC (41424),Su,1200-1500,Joline Bourdages,5,Web ,3
2029-LEC (41433),Su,1200-1500,Joline Bourdages,5,Web ,3
2002-LEC (41352),We,1800-2120,Toni Blake,4.7,Web ,3
2013-LEC (41360),Sa,1200-1500,Toni Blake,4.7,Web ,3
2018-LEC (41364),Sa,1200-1500,Toni Blake,4.7,Web ,3
2019-LEC (41414),Sa,1200-1500,Omar Alhassoon,4.6,Web ,3
2015-LEC (41362),Sa,1200-1500,Oscar Torres,4.6,Web ,3
2017-LEC (41363),Sa,1200-1500,Oscar Torres,4.6,Web ,3
2011-LEC (41358),Sa,1200-1500,Karen Markowitz,4.4,Web ,3
2007-LEC (41355),MoWe,1110-1235,Helen Greenbergs,4,Mesa,3
2021-LEC (41407),MoWe,0800-0925,Helen Greenbergs,4,Mesa,3
2008-LEC (41356),TuTh,1110-1230,Ian Villalta,3.9,Mesa,3
2014-LEC (41361),TuTh,1245-1405,Ian Villalta,3.9,,3
2005-LEC (41354),TuTh,0935-1055,Roger Gallegos,2.8,Mesa,3
2006-LEC (41418),Fr,1200-1500,Fredric Seldin,2.5,Web ,3
2026-LEC (41443),Fr,1200-1500,Fredric Seldin,2.5,Web ,3
2027-LEC (41431),TuTh,0800-0920,Brandon Guarini,0,Mesa,3
2020-LEC (41411),MoWe,1245-1410,Rudy Contreras,0,Mesa,3
2022-LEC (41416),MoWe,1555-1720,Rudy Contreras,0,Mesa,3
2004-LEC (41353),MoWe,0935-1100,TBA,0,Mesa,3
2030-LEC (44957),MoWe,1420-1545,TBA,0,Mesa,3
