Course ID,Days,Time,Instructor,RMP,Campus,Credits
2016-LEC (44232),TuTh,1110-1230,Hailea Stone,5,Mesa,3
2002-LEC (44216),MoWe,0800-0925,Jayla Lee,5,Mesa,3
2004-LEC (44218),TuTh,0800-0920,Jayla Lee,5,Mesa,3
2007-LEC (44221),MoWe,0935-1100,Jayla Lee,5,Mesa,3
2023-LEC (44242),TuTh,1245-1405,Jayla Lee,5,Mesa,3
2015-LEC (44231),TuTh,1110-1230,Maribeth Brown,5,Mesa,3
2010-LEC (44225),TuTh,0935-1055,Katya Azzam,4.9,Mesa,3
2017-LEC (44236),TuTh,1110-1230,Katya Azzam,4.9,Mesa,3
2006-LEC (44220),MoWe,0935-1100,Scott Plambek,4.8,Mesa,3
2019-LEC (44238),MoWe,1245-1410,Scott Plambek,4.8,Mesa,3
2022-LEC (44241),TuTh,1245-1405,Scott Plambek,4.8,Mesa,3
2025-LEC (44245),MoWe,1420-1545,Scott Plambek,4.8,Mesa,3
2027-LEC (44284),MoWe,1420-1725,Carolyn Nathan,4.4,Mesa,3
2028-LEC (44285),MoWe,1420-1725,Carolyn Nathan,4.4,Mesa,3
2001-LEC (44215),MoWe,0800-0925,Dave Odasso,4.2,Mesa,3
2005-LEC (44219),MoWe,0935-1100,Dave Odasso,4.2,Mesa,3
2018-LEC (44237),MoWe,1245-1410,Dave Odasso,4.2,Mesa,3
2021-LEC (44240),TuTh,1245-1405,Dave Odasso,4.2,Mesa,3
2013-LEC (44229),MoWe,1110-1235,Aislinn Roberts,4.1,Mesa,3
2031-LEC (44289),MoWe,0935-1100,Aislinn Roberts,4.1,Mesa,3
2003-LEC (44217),TuTh,0800-0920,Mary Ross,3.9,Mesa,3
2009-LEC (44223),TuTh,0935-1055,Mary Ross,3.9,Mesa,3
2020-LEC (44239),MoWe,1245-1410,Michael Kidwell,3.9,Mesa,3
2050-LEC (44916),MoWe,1245-1410,Bobby Chambers,3.7,Web ,3
2051-LEC (45050),MoWe,1245-1410,Bobby Chambers,3.7,Web ,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2012-LEC (44228),MoWe,1110-1235,Cathy James,2.4,Mesa,3
2026-LEC (44283),TuTh,1420-1540,Cathy James,2.4,Mesa,3
2032-LEC (44291),TuTh,0935-1055,Cathy James,2.4,Mesa,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2008-LEC (44222),TuTh,0935-1055,Nicholas Leath-Lacy,0,Mesa,3
2011-LEC (44227),MoWe,1110-1235,Nicholas Leath-Lacy,0,Mesa,3
2014-LEC (44230),TuTh,1110-1230,Nicholas Leath-Lacy,0,Mesa,3
2024-LEC (44244),MoWe,1420-1545,Nicholas Leath-Lacy,0,Mesa,3
2030-LEC (44288),Mo,1800-2105,TBA,0,Mesa,3
